1400
174,86400
423,200,1000,-19499.9805,30999.9876,52
424,200,1000,-19699.9803,30999.9876,111
425,200,1000,-19899.9801,30999.9876,113
426,200,1000,-20099.9799,30999.9876,110
427,200,1000,-20299.9797,30999.9876,99
428,200,1000,-20499.9795,30999.9876,45
429,200,1000,-27599.9724,30999.9876,1
430,200,1000,-19599.9804,31999.9872,28
431,200,1000,-19799.9802,31999.9872,113
432,200,1000,-19999.98,31999.9872,111
433,200,1000,-20199.9798,31999.9872,72
434,200,1000,-19399.9806,32999.9868,20
435,200,1000,-19599.9804,32999.9868,101
436,200,1000,-19799.9802,32999.9868,113
437,200,1000,-19999.98,32999.9868,110
438,200,1000,-20199.9798,32999.9868,60
439,200,1000,-19199.9808,33999.9864,18
440,200,1000,-19399.9806,33999.9864,113
441,200,1000,-19599.9804,33999.9864,113
442,200,1000,-19799.9802,33999.9864,86
443,200,1000,-19999.98,33999.9864,24
444,200,1000,-18599.9814,34999.985999999,18
445,200,1000,-19199.9808,34999.985999999,100
446,200,1000,-19399.9806,34999.985999999,113
447,200,1000,-19699.9803,34999.985999999,81
448,200,1000,-17799.9822,35999.985599999,4
449,200,1000,-17999.982,35999.985599999,83
450,200,1000,-18199.9818,35999.985599999,10
451,200,1000,-19399.9806,35999.985599999,98
452,200,1000,-19599.9804,35999.985599999,113
453,200,1000,-19799.9802,35999.985599999,97
454,200,1000,-19999.98,35999.985599999,14
455,200,1000,-15399.9846,36999.9852,34
456,200,1000,-15599.9844,36999.9852,31
457,200,1000,-15799.9842,36999.9852,35
458,200,1000,-15999.984,36999.9852,33
459,200,1000,-16199.9838,36999.9852,4
460,200,1000,-16399.9836,36999.9852,24
461,200,1000,-16599.9834,36999.9852,10
462,200,1000,-16999.983,36999.9852,62
463,200,1000,-17099.9829,36999.9852,29
464,200,1000,-19399.9806,36999.9852,4
465,200,1000,-19599.9804,36999.9852,93
466,200,1000,-19799.9802,36999.9852,113
467,200,1000,-19999.98,36999.9852,110
468,200,1000,-20199.9798,36999.9852,46
469,200,1000,-15999.984,37999.9848,10
470,200,1000,-16199.9838,37999.9848,57
471,200,1000,-19599.9804,37999.9848,8
472,200,1000,-19799.9802,37999.9848,112
473,200,1000,-19999.98,37999.9848,113
474,200,1000,-20199.9798,37999.9848,110
475,200,1000,-20399.9796,37999.9848,63
476,200,1000,-20599.9794,37999.9848,56
477,200,1000,-20799.9792,37999.9848,7
478,200,1000,-16399.9836,38999.9844,28
479,200,1000,-16599.9834,38999.9844,52
480,200,1000,-19799.9802,38999.9844,1
481,200,1000,-19999.98,38999.9844,88
482,200,1000,-20099.9799,38999.9844,112
483,200,1000,-20399.9796,38999.9844,112
484,200,1000,-20599.9794,38999.9844,62
485,200,1000,-16699.9833,39999.984,32
486,200,1000,-20299.9797,39999.984,24
487,200,1000,-20499.9795,39999.984,105
488,200,1000,-20699.9793,39999.984,113
489,200,1000,-20899.9791,39999.984,94
490,200,1000,-16699.9833,40999.9836,35
491,200,1000,-20899.9791,40999.9836,33
492,200,1000,-21099.9789,40999.9836,110
493,200,1000,-21299.9787,40999.9836,113
494,200,1000,-21499.9785,40999.9836,78
495,200,1000,-16599.9834,41999.983199999,16
496,200,1000,-21199.9788,41999.983199999,72
497,200,1000,-21499.9785,41999.983199999,113
498,200,1000,-21699.9783,41999.983199999,105
499,200,1000,-21899.9781,41999.983199999,18
500,200,1000,-16199.9838,42999.9828,28
501,200,1000,-16399.9836,42999.9828,5
502,200,1000,-22099.9779,42999.9828,89
503,200,1000,-22299.9777,42999.9828,112
504,200,1000,-22499.9775,42999.9828,112
505,200,1000,-22699.9773,42999.9828,113
506,200,1000,-22899.9771,42999.9828,113
507,200,1000,-22599.9774,43999.9824,10
508,200,1000,-22799.9772,43999.9824,65
509,200,1000,-22999.977,43999.9824,113
510,200,1000,-23199.9768,43999.9824,94
511,200,1000,-22999.977,44999.982,26
512,200,1000,-23199.9768,44999.982,107
513,200,1000,-23399.9766,44999.982,107
514,200,1000,-23599.9764,44999.982,9
515,200,1000,-16199.9838,45999.9816,3
516,200,1000,-23399.9766,45999.9816,89
517,200,1000,-23599.9764,45999.9816,113
518,200,1000,-23799.9762,45999.9816,73
519,200,1000,-15899.9841,46999.9812,5
520,200,1000,-23599.9764,46999.9812,13
521,200,1000,-23799.9762,46999.9812,88
522,200,1000,-23999.976,46999.9812,113
523,200,1000,-24199.9758,46999.9812,105
524,200,1000,-15899.9841,47750,20
525,200,1000,-24099.9759,47750,102
526,200,1000,-24299.9757,47750,113
527,200,1000,-24499.9755,47750,73
528,200,1000,-15899.9841,48749.9996,10
529,200,1000,-23999.976,48749.9996,68
530,200,1000,-24199.9758,48749.9996,113
531,200,1000,-24399.9756,48749.9996,111
532,200,1000,-24599.9754,48749.9996,41
533,200,1000,-23599.9764,49749.9992,13
534,200,1000,-23799.9762,49749.9992,73
535,200,1000,-23999.976,49749.9992,113
536,200,1000,-24199.9758,49749.9992,113
537,200,1000,-24399.9756,49749.9992,47
538,200,1000,-24599.9754,49749.9992,48
539,200,1000,-22999.977,50749.998799999,6
540,200,1000,-23199.9768,50749.998799999,88
541,200,1000,-23399.9766,50749.998799999,113
542,200,1000,-23599.9764,50749.998799999,113
543,200,1000,-23799.9762,50749.998799999,64
544,200,1000,-22399.9776,51749.998399999,66
